监测时间,水温,pH,高锰酸盐指数,氨氮,总磷,总氮,溶解氧
2020-11-08 08:00:00,9.3,8.495,3.525,0.155,0.088,8.265,10.055
2020-11-08 12:00:00,10.5,8.55,3.525,0.155,0.088,8.265,10.435
2020-11-08 16:00:00,11.1,8.58,3.98,0.2855,0.0955,8.105,11.545
2020-11-08 20:00:00,10.4,8.465,7.57,0.3755,0.106,8.645,10.575
2020-11-09 00:00:00,10.25,8.47,4.295,0.168,0.094,7.97,10.24
2020-11-09 04:00:00,9.8,8.43,4.105,0.178,0.088,8.03,10.12
2020-11-09 08:00:00,9.35,8.425,3.715,0.2645,0.087,7.715,10.25
2020-11-09 12:00:00,10.5,8.56,3.525,0.2465,0.084,7.855,12.26
2020-11-09 16:00:00,11.25,8.59,3.69,0.299,0.0935,7.695,12.215
2020-11-09 20:00:00,10.7,8.525,7.9,0.235,0.1155,7.895,10.61
2020-11-10 00:00:00,10.25,8.495,4.06,0.077,0.098,7.425,10.26
2020-11-10 04:00:00,9.75,8.47,3.825,0.0555,0.0945,7.16,10.195
2020-11-10 08:00:00,9.35,8.445,3.52,0.0285,0.085,7.465,10.335
2020-11-10 12:00:00,10.7,8.615,3.535,0.025,0.079,7.34,12.935
2020-11-10 16:00:00,11.65,8.605,3.435,0.025,0.0765,7.06,12.475
2020-11-10 20:00:00,10.85,8.5,10.005,0.1205,0.1155,7.475,10.6
2020-11-11 00:00:00,10.35,8.46,3.63,0.117,0.086,6.915,10.115
2020-11-11 04:00:00,10.25,8.45,3.63,0.117,0.086,6.915,10
2020-11-11 08:00:00,10.05,8.445,3.595,0.126,0.0905,7.155,10.08
2020-11-11 12:00:00,11,8.625,3.705,0.0405,0.085,7.115,13.14
2020-11-11 16:00:00,11.65,8.67,3.995,0.025,0.0665,6.955,13.045
2020-11-11 20:00:00,11,8.535,4.705,0.0375,0.0845,6.65,10.785
2020-11-12 00:00:00,12.3,8.47,6.81,0.089,0.126,8.14,10.6
2020-11-12 04:00:00,10.75,8.465,4.34,0.084,0.0755,7.17,10.235
2020-11-12 08:00:00,8.2,8.43,1.53,0.026,0.026,5.8,10.2
2020-11-12 12:00:00,13.8,8.43,6.07,0.025,0.109,8.33,11.36
2020-11-12 16:00:00,13.9,8.5,5.77,0.025,0.113,9.84,11.48
2020-11-12 20:00:00,11.4,8.47,4.01,0.0265,0.0645,7.125,9.995
2020-11-13 00:00:00,11.15,8.42,3.9,0.025,0.0635,7.035,9.53
2020-11-13 04:00:00,11.1,8.465,3.9,0.025,0.0635,7.035,10.23
2020-11-13 08:00:00,11.05,8.445,3.915,0.0385,0.069,7.2,10.11
2020-11-13 12:00:00,11.6,8.6,3.935,0.0275,0.068,7.575,12.61
2020-11-13 16:00:00,11.85,8.65,4.085,0.047,0.071,7.205,13.055
2020-11-13 20:00:00,11.4,8.53,4.1,0.07,0.079,7.245,10.825
2020-11-14 00:00:00,11.8,8.535,4.34,0.057,0.096,7.425,10.54
2020-11-14 04:00:00,9.7,8.48,1.66,0.025,0.024,5.76,9.83
2020-11-14 08:00:00,9.3,8.44,1.7,0.025,0.022,5.86,10.05
2020-11-14 12:00:00,10.5,8.71,1.95,0.025,0.025,6.23,14.56
2020-11-14 16:00:00,12.55,8.655,4.175,0.0295,0.0805,7.255,13.355
2020-11-14 20:00:00,12.05,8.515,4.69,0.156,0.0845,7.4,10.685
2020-11-15 00:00:00,11.65,8.465,4.54,0.428,0.0875,7.765,10.06
2020-11-15 04:00:00,11.35,8.455,4.54,0.428,0.0875,7.765,10.015
2020-11-15 08:00:00,10.95,8.46,4.11,0.3585,0.083,7.61,10.14
2020-11-15 12:00:00,11.75,8.61,3.92,0.213,0.0805,7.355,13.115
2020-11-15 16:00:00,12.05,8.635,4.11,0.094,0.085,7.185,12.77
2020-11-15 20:00:00,11.65,8.535,4.385,0.043,0.087,7.095,10.675
2020-11-16 00:00:00,11.35,8.51,4.28,0.05,0.0905,7.05,10.11
2020-11-16 04:00:00,10.9,8.5,4.28,0.0945,0.096,6.905,10.135
2020-11-16 08:00:00,10.5,8.48,4.055,0.025,0.0855,6.285,10.165
2020-11-16 12:00:00,11.5,8.575,3.87,0.025,0.076,6.36,12.22
2020-11-16 16:00:00,12.05,8.625,4.02,0.025,0.0975,6.28,12.795
2020-11-16 20:00:00,11.85,8.5,4.205,0.0475,0.088,6.69,10.38
2020-11-17 00:00:00,11.9,8.455,4.095,0.1365,0.0915,6.775,9.815
2020-11-17 04:00:00,11.8,8.415,3.86,0.0775,0.087,6.865,9.585
2020-11-17 08:00:00,11.85,8.35,3.795,0.025,0.0785,6.825,8.945
2020-11-17 12:00:00,12.05,8.385,4.09,0.0255,0.0715,6.88,9.49
2020-11-17 16:00:00,12.05,8.365,4.215,0.025,0.0855,6.38,9.2
2020-11-17 20:00:00,12.05,8.32,4.23,0.037,0.0685,6.39,8.57
2020-11-18 00:00:00,12,8.285,4.315,0.0575,0.073,6.46,8.465
2020-11-18 04:00:00,12.1,8.265,4.465,0.027,0.105,5.695,8.86
2020-11-18 08:00:00,12.15,8.295,6.03,0.5145,0.187,6.645,8.94
2020-11-18 12:00:00,12.15,8.35,6.125,0.422,0.172,6.735,9.77
2020-11-18 16:00:00,12,8.395,6.075,0.1475,0.176,5.735,10.28
2020-11-18 20:00:00,11.65,8.375,5.94,0.081,0.178,8.005,9.915
2020-11-19 00:00:00,11.45,8.335,5.97,0.0625,0.264,7.68,9.575
2020-11-19 04:00:00,11.15,8.36,5.97,0.0625,0.264,7.68,9.55
2020-11-19 08:00:00,10.7,8.41,6.07,0.367,0.22,7.295,9.805
2020-11-19 16:00:00,11.75,8.42,5.44,0.202,0.167,6.315,10.795
2020-11-19 20:00:00,10.9,8.415,5.43,0.2215,0.1405,6.66,10.225
2020-11-20 00:00:00,10.4,8.415,5.025,0.249,0.124,6.645,10.09
2020-11-20 04:00:00,10.1,8.405,5.025,0.249,0.124,6.645,9.97
2020-11-20 08:00:00,9.75,8.345,5.27,0.3615,0.129,5.7,9.65
2020-11-20 12:00:00,10.1,8.425,5.23,0.3375,0.129,5.905,10.59
2020-11-20 16:00:00,10.05,8.445,5.175,0.498,0.1355,6.745,10.635
2020-11-20 20:00:00,9.75,8.45,4.945,0.4235,0.1185,5.885,10.35
2020-11-21 00:00:00,9.6,8.435,4.945,0.4235,0.1185,5.885,10.285
2020-11-21 04:00:00,9.5,8.42,5,0.638,0.123,6.57,10.23
2020-11-21 08:00:00,9.45,8.37,5.125,0.833,0.138,6.94,9.935
2020-11-21 12:00:00,9.3,8.385,5.06,0.5515,0.1225,5.205,10.15
2020-11-21 16:00:00,9.1,8.41,5.055,0.4705,0.132,5.75,10.135
2020-11-21 20:00:00,8.85,8.42,4.88,0.3685,0.1335,5.695,10.01
2020-11-22 00:00:00,8.5,8.43,4.88,0.3685,0.1335,5.695,10.345
2020-11-22 04:00:00,8.1,8.41,4.465,0.246,0.1125,5.675,10.17
2020-11-22 08:00:00,7.65,8.415,4.285,0.1915,0.1025,6.045,10.19
2020-11-22 12:00:00,8.05,8.445,4.435,0.1965,0.1055,5.865,10.75
2020-11-22 16:00:00,8.15,8.39,4.705,0.631,0.1205,6.52,9.96
2020-11-22 20:00:00,7.65,8.365,4.565,0.6155,0.114,6.735,9.62
2020-11-23 00:00:00,7.4,8.385,4.565,0.6155,0.114,6.735,9.95
2020-11-23 04:00:00,7.15,8.345,4.14,0.3935,0.0955,6.815,9.865
2020-11-23 08:00:00,6.9,8.315,4.185,0.547,0.1055,7.125,9.885
2020-11-23 12:00:00,6.75,8.325,4.135,0.617,0.1065,6.865,10.255
2020-11-23 16:00:00,6.6,8.355,4.025,0.673,0.0995,6.8,10.505
2020-11-23 20:00:00,6.35,8.375,4.06,0.55,0.0955,7,10.465
2020-11-24 00:00:00,6.15,8.375,4.06,0.55,0.0955,7,10.48
2020-11-24 04:00:00,6.05,8.355,4.31,1.197,0.1355,7.755,10.505
2020-11-24 08:00:00,5.85,8.355,4.585,1.8765,0.196,8.915,10.52
2020-11-24 12:00:00,6.35,8.42,4.24,1.854,0.1765,8.385,11.175
2020-11-24 16:00:00,6.6,8.43,3.77,1.0455,0.127,7.865,11.21
2020-11-24 20:00:00,6.3,8.4,3.5,0.662,0.1055,7.59,10.665
2020-11-25 00:00:00,8.5,8.22,4.99,0.789,0.153,9.28,10.31
2020-11-25 04:00:00,6.25,8.39,3.54,0.503,0.095,7.52,10.58
2020-11-25 08:00:00,6.3,8.39,3.385,0.4835,0.092,7.46,10.635
2020-11-25 12:00:00,6.35,8.415,3.4,0.4725,0.0895,7.18,11.12
2020-11-25 16:00:00,6.55,8.43,3.475,0.4855,0.0915,7.63,11.215
2020-11-25 20:00:00,6.35,8.41,3.385,0.589,0.0915,7.41,10.84
2020-11-26 00:00:00,6.25,8.405,3.37,0.6115,0.093,7.565,10.73
2020-11-26 04:00:00,6.2,8.4,3.36,0.613,0.0915,7.495,10.77
2020-11-26 08:00:00,6.05,8.36,3.715,0.627,0.098,7.705,10.34
2020-11-26 12:00:00,6.55,8.405,3.7,0.706,0.097,7.625,10.82
2020-11-26 16:00:00,6.75,8.415,3.8,0.846,0.098,7.67,10.835
2020-11-26 20:00:00,6.45,8.385,3.465,1.0075,0.0975,8.115,10.36
2020-11-27 00:00:00,6,8.37,3.3,1.0635,0.103,8.19,10.365
2020-11-27 04:00:00,5.6,8.335,3.055,1.098,0.0935,8.115,10.425
2020-11-27 08:00:00,5.4,8.32,3.19,1.1335,0.0915,8.33,10.51
2020-11-27 12:00:00,6.05,8.36,3.155,1.191,0.0915,8.25,11.23
2020-11-27 16:00:00,6.25,8.375,3.21,1.7235,0.0965,8.265,11.225
2020-11-27 20:00:00,5.85,8.35,3.18,1.709,0.1005,8.325,10.625
2020-11-28 00:00:00,5.55,8.35,3.165,1.709,0.092,8.435,10.65
2020-11-28 04:00:00,5.45,8.325,3.085,1.7345,0.092,8.545,10.595
2020-11-28 08:00:00,5.5,8.31,4.22,1.722,0.1645,9.31,10.585
2020-11-28 12:00:00,6.15,8.385,3.495,1.703,0.1165,8.87,11.435
2020-11-28 16:00:00,6.5,8.41,3.395,1.7715,0.107,9.145,11.545
2020-11-28 20:00:00,5.8,8.38,3.46,1.624,0.1045,9.035,10.765
2020-11-29 00:00:00,5.3,8.365,3.28,1.425,0.1,9.075,10.585
2020-11-29 04:00:00,4.95,8.35,3.38,1.6065,0.0915,9.435,10.6
2020-11-29 08:00:00,4.95,8.335,3.305,1.584,0.087,9.245,10.66
2020-11-29 12:00:00,5.9,8.41,3.23,1.3495,0.0835,8.775,11.65
2020-11-29 16:00:00,6.35,8.445,3.315,1.1565,0.0805,8.87,11.82
2020-11-29 20:00:00,5.5,8.41,3.195,1.132,0.083,8.755,11.09
2020-11-30 00:00:00,4.9,8.385,3.405,1.2615,0.0885,9.25,10.83
2020-11-30 04:00:00,4.4,8.355,3.51,1.4785,0.089,9.175,10.795
2020-11-30 08:00:00,4.5,8.34,3.36,1.5205,0.085,9.56,10.79
2020-11-30 12:00:00,4.95,8.39,3.29,1.3355,0.083,9.09,11.5
2020-11-30 16:00:00,5.45,8.415,3.11,1.1475,0.0825,8.77,11.7
2020-11-30 20:00:00,5.1,8.38,2.865,0.996,0.0785,8.93,10.905
2020-12-01 00:00:00,5,8.36,2.85,0.9255,0.0795,8.69,10.75
2020-12-01 04:00:00,4.65,8.34,2.8,0.9495,0.0795,8.675,10.755
2020-12-01 08:00:00,4.4,8.31,2.99,0.9505,0.077,9.09,10.58
2020-12-01 12:00:00,5.15,8.365,3.01,0.812,0.075,8.58,11.335
2020-12-01 16:00:00,5.5,8.385,2.965,0.8485,0.08,8.635,11.345
2020-12-01 20:00:00,5.3,8.36,3.07,0.836,0.086,8.76,10.695
2020-12-02 00:00:00,5.15,8.335,3.41,0.973,0.1085,8.8,10.445
2020-12-02 04:00:00,5.1,8.295,3.47,1.2255,0.136,9.22,10.265
2020-12-02 08:00:00,5.05,8.285,3.43,1.2665,0.132,9.355,10.32
2020-12-02 12:00:00,5.5,8.365,3.4,1.125,0.1115,8.82,11.585
2020-12-02 16:00:00,6,8.425,3.635,1.0025,0.096,8.645,12.26
2020-12-02 20:00:00,5.35,8.405,3.42,0.934,0.086,8.375,11.46
2020-12-03 00:00:00,4.9,8.375,3.42,0.934,0.086,8.375,11
2020-12-03 04:00:00,4.25,8.34,3.345,0.9155,0.081,8.545,10.86
2020-12-03 08:00:00,3.75,8.345,3.32,0.921,0.0805,8.825,11.015
2020-12-03 12:00:00,4.45,8.43,3.45,0.8385,0.0815,8.49,12.47
2020-12-03 16:00:00,4.65,8.5,3.8,0.95,0.09,8.75,13.155
2020-12-03 20:00:00,4.3,8.475,3.73,0.9205,0.092,8.78,12.175
2020-12-04 00:00:00,3.7,8.445,3.73,0.9205,0.092,8.78,11.61
2020-12-04 04:00:00,3.15,8.38,3.62,0.8785,0.0885,8.545,11.005
2020-12-04 08:00:00,2.9,8.32,3.57,0.9735,0.0815,8.63,10.56
2020-12-04 12:00:00,3.6,8.405,3.535,0.917,0.0855,8.26,11.92
2020-12-04 16:00:00,4.4,8.505,4.115,0.927,0.093,8.52,13.115
2020-12-04 20:00:00,3.65,8.475,4.235,1.1385,0.106,9.1,12.16
2020-12-05 00:00:00,3.2,8.475,4.235,1.1385,0.106,9.1,11.77
